,Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
2619,SAN LUIS,Ayacucho,San Roque,--,--,--,--,--,--,--,--,--
2620,SAN LUIS,Ayacucho,Santa Ana,--,--,--,--,--,--,--,--,--
2621,SAN LUIS,Ayacucho,Santa Rosa De Catantal,--,--,--,--,--,--,--,--,--
2622,SAN LUIS,Ayacucho,Santa Teresa,--,--,--,--,--,--,--,--,--
2623,SAN LUIS,Ayacucho,Santo Domingo,--,--,--,--,--,--,--,--,--
2624,SAN LUIS,Ayacucho,Talita,--,--,--,--,--,--,--,--,--
2625,SAN LUIS,Belgrano,Arbol Solo,--,--,--,--,--,--,--,--,--
2626,SAN LUIS,Belgrano,Bella Estancia,--,--,--,--,--,--,--,--,--
2627,SAN LUIS,Belgrano,Buen Orden,--,--,--,--,--,--,--,--,--
2628,SAN LUIS,Belgrano,El Barrial,--,--,--,--,--,--,--,--,--
2629,SAN LUIS,Belgrano,El Milagro,--,--,--,--,--,--,--,--,--
2630,SAN LUIS,Belgrano,El Recodo,--,--,--,--,--,--,--,--,--
2631,SAN LUIS,Belgrano,Estancia De Amieva,--,--,--,--,--,--,--,--,--
2632,SAN LUIS,Belgrano,Hualtaran,--,--,--,--,--,--,--,--,--
2633,SAN LUIS,Belgrano,La Calera,--,--,--,SI,--,--,SI,SI,--
2634,SAN LUIS,Belgrano,Las Lagunitas,--,--,--,--,--,--,--,--,--
2635,SAN LUIS,Belgrano,Los Molles,--,--,--,--,--,--,--,SI,--
2636,SAN LUIS,Belgrano,Los Ramblones,--,--,--,--,--,--,--,--,--
2637,SAN LUIS,Belgrano,Naranjo Esquino,--,--,--,--,--,--,--,--,--
2638,SAN LUIS,Belgrano,Nogolí,--,--,--,SI,--,--,SI,SI,--
2639,SAN LUIS,Belgrano,Pozo Cavado,--,--,--,--,--,--,--,--,--
2640,SAN LUIS,Belgrano,Pozo Del Tala,--,--,--,--,--,--,--,--,--
2641,SAN LUIS,Belgrano,Represa Del Carmen,--,--,--,--,--,--,--,--,--
2642,SAN LUIS,Belgrano,San Antonio,--,--,--,--,--,--,--,--,--
2643,SAN LUIS,Belgrano,San Pedro,--,--,--,--,--,--,--,SI,--
2644,SANTA FE,General López,Cañada del Ucle,SI,--,--,--,--,--,SI,--,--
2645,SANTA FE,General López,Carmen,--,--,--,--,SI,SI,SI,SI,--
2646,SANTA FE,General López,Carreras,--,SI,--,--,SI,SI,SI,SI,--
2647,SANTA FE,General López,Chapuy,--,SI,--,--,SI,SI,SI,--,--
2648,SANTA FE,General López,Chovet,--,SI,--,--,SI,SI,SI,--,SI
2649,SANTA FE,General López,Christophersen,--,--,--,SI,SI,--,SI,SI,--
2650,SANTA FE,General López,Diego de Alvear,SI,--,--,SI,SI,SI,SI,SI,--
2651,SANTA FE,General López,Elortondo,SI,SI,--,--,SI,SI,SI,SI,--
2652,SANTA FE,General López,Firmat,SI,SI,--,SI,SI,SI,SI,--,--
2653,SANTA FE,General López,Hughes,--,--,--,SI,SI,SI,SI,--,--
2654,SANTA FE,General López,La Chispa,--,--,--,--,--,--,SI,SI,--
2655,CORDOBA,Pocho,Salsacate,SI,--,--,SI,SI,SI,SI,SI,SI
2656,CORDOBA,Pocho,San Gerónimo,--,--,--,--,--,--,--,SI,--
2657,CORDOBA,Pocho,Tala Cañada,--,--,--,--,SI,--,SI,SI,--
2658,CORDOBA,Pocho,Taninga,--,--,--,--,--,--,--,SI,--
2659,CORDOBA,Pocho,Villa de Pocho,--,--,--,--,SI,--,SI,SI,--
2660,CORDOBA,Presidente Roque Sáenz Peña,General Levalle,SI,SI,--,SI,SI,SI,SI,SI,--
2661,CORDOBA,Presidente Roque Sáenz Peña,La Cesira,SI,--,--,SI,SI,SI,SI,SI,SI
2662,CORDOBA,Presidente Roque Sáenz Peña,Laboulaye,SI,SI,--,SI,SI,SI,SI,SI,--
2663,CORDOBA,Presidente Roque Sáenz Peña,Leguizamón,--,--,--,SI,--,--,--,--,--
2664,CORDOBA,Presidente Roque Sáenz Peña,Melo,--,--,--,SI,SI,SI,SI,SI,--
2665,CORDOBA,Presidente Roque Sáenz Peña,Río Bamba,--,--,--,--,SI,SI,SI,SI,--
2666,CORDOBA,Presidente Roque Sáenz Peña,Rosales,--,--,--,--,SI,SI,SI,SI,--
2667,CORDOBA,Presidente Roque Sáenz Peña,San Joaquín,--,--,--,--,SI,--,SI,SI,--
2668,CORRIENTES,Berón de Astrada,Yahapé,--,--,--,--,SI,--,--,--,--
2669,CORRIENTES,Empedrado,El Sombrero,SI,--,--,--,SI,--,SI,SI,SI
2670,CORRIENTES,Empedrado,Empedrado,SI,SI,--,--,SI,SI,SI,SI,SI
2671,CORRIENTES,Esquina,Esquina,SI,--,--,SI,SI,SI,SI,SI,SI
2672,CORRIENTES,Esquina,Pueblo Libertador,--,--,--,--,SI,--,--,SI,SI
2673,CORRIENTES,General Alvear,Alvear,SI,--,--,--,SI,SI,SI,--,SI
